Bridge ID,Road Type,Year Built,Number of Lanes,Avg Daily Traffic,Operational Status,Structure Material,Deck Material,Bridge Design,Number of Spans,Bridge Length,Road Width,Deck Width,Assessment,Structural improvement Needed,Lifetime
AVS117S59901550J09585,2,1930,2,14164,3,1,1,76,1,14.3,12.2,13.4,5,2,86
AVS117S59901550J09585,2,1930,2,14243,3,1,1,76,1,14.3,12.2,13.4,5,2,88
AVS117S59901668N01181,2,1930,4,16395,3,1,N,86,1,18.6,21.6,23.9,3,0,88
AVS117S59902927V04080,4,1930,4,21000,3,2,N,75,1,14,18.3,30,3,0,88
AVS117S59903348M01688,4,1930,2,500,3,1,2,85,2,8.5,7.6,7.9,5,2,86
AVS117S59903348M01688,4,1930,2,500,3,1,2,85,2,8.5,7.6,7.9,5,2,88
AVS117S59903618Y07988,2,1930,1,178,1,1,1,75,1,7.9,5.2,6.2,4,1,86
AVS117S59903618Y07988,2,1930,1,141,1,1,1,75,1,7.9,5.2,6.2,4,1,88
AVS117S59903721Z06180,3,1930,2,99,1,1,N,86,1,42.7,11,18.3,3,0,88
AVS117S59904159Q03585,4,1930,2,150,1,2,1,75,1,11.9,5.1,5.4,3,0,84
AVS117S59904159Q03585,4,1930,2,150,1,2,1,75,1,11.9,5.1,5.4,3,0,88
AVS117S59904528M07988,2,1930,2,86,1,2,1,75,1,8.5,5.7,6.1,3,0,84
AVS117S59904528M07988,2,1930,2,84,1,2,1,75,1,8.5,5.7,6.1,3,0,88
AVS117S59904855C04882,2,1930,2,358,1,1,N,76,1,9.8,11,11.6,3,0,88
AVS117S59905792X06480,4,1930,1,800,1,2,1,88,1,24.4,4.8,5.3,4,1,86
AVS117S59905792X06480,4,1930,1,800,1,2,1,88,1,24.4,4.8,5.3,4,1,88
AVS117S59906381Q04383,2,1930,2,572,1,1,1,76,1,7.6,8.7,10.1,4,1,84
AVS117S59907042G03788,2,1930,2,12751,1,1,1,76,3,34.7,10.1,13.2,4,1,86
AVS117S59907042G03788,2,1930,2,12757,1,1,1,76,3,34.7,10.1,13.2,4,1,88
AVS117S59907049D01284,2,1930,2,1993,3,2,2,75,1,8.2,10.1,10.4,4,1,86
AVS117S59907049D01284,2,1930,2,1993,3,2,2,75,1,8.2,10.1,10.4,4,1,88
AVS117S59907388V01585,2,1930,2,3852,1,2,1,88,1,25,8.8,10.2,4,1,83
AVS117S59907388V01585,2,1930,2,3886,1,2,1,88,1,25,8.8,10.2,4,1,86
AVS117S59907388V01585,2,1930,2,3834,1,2,1,88,1,25,8.8,10.2,4,1,88
AVS117S59907485Z04085,2,1930,2,153,1,1,N,85,1,7.9,5.9,6.8,2,0,84
AVS117S59908700N04783,4,1930,2,300,1,2,1,75,1,11.3,5.3,6.2,3,0,88
AVS117S59909102Y09285,2,1930,4,36858,1,2,1,81,1,372.2,12.4,13,3,0,88
AVS117S59909213R09582,2,1930,2,4429,1,1,1,76,1,11.6,9.1,10,3,0,88
AVS117S59909410Y05186,2,1930,2,1480,1,2,1,75,1,10.4,10.4,12.6,4,1,86
AVS117S59909410Y05186,2,1930,2,1447,1,2,1,75,1,10.4,10.4,12.6,4,1,88
AVS117S59909449G04086,2,1930,4,18087,1,2,1,75,1,14,12.2,17.1,2,0,85
AVS117S59909449G04086,2,1930,4,17488,1,2,1,75,1,14,12.2,17.1,2,0,88
AVS147Q71000358B02885,2,1959,2,1217,1,1,1,76,1,11.6,11.6,12.7,3,1,59
AVS147Q71000444R06081,2,1959,4,12890,1,1,1,74,1,68.6,18.3,22.3,3,3,59
AVS147Q71000708U03388,1,1959,2,17451,1,1,1,74,3,53.6,12.2,13.3,2,1,59
AVS147Q71000951D05380,2,1959,2,279,1,1,3,74,2,36.3,8.5,10.2,5,3,57
AVS147Q71001055M03282,1,1959,4,20256,1,1,N,79,3,15.8,0,0,3,0,51
AVS147Q71001102I04387,4,1959,2,5000,1,2,1,88,3,135.3,11,13.9,3,1,59
AVS147Q71001619Y08584,2,1959,2,12586,1,2,1,75,1,16.5,18,20.4,3,1,59
AVS147Q71001928T04684,4,1959,1,100,3,2,1,75,1,8.2,4.5,4.9,4,0,57
AVS147Q71001928T04684,4,1959,1,100,3,2,1,75,1,8.2,4.5,4.9,4,0,59
AVS147Q71002491E06086,1,1959,4,28074,1,2,1,75,4,64.6,19.8,21.8,4,1,51
AVS147Q71002871M03387,2,1959,2,514,1,1,1,76,1,7.3,9.1,10.9,3,1,59
AVS147Q71003061P06683,1,1959,4,22212,1,2,1,75,3,100.6,17.6,20,3,0,54
AVS147Q71003061P06683,1,1959,4,48969,1,2,1,75,3,100.6,17.6,20,3,0,59
AVS147Q71003590T09680,1,1959,2,7471,1,2,1,75,3,39.9,12.2,13.4,3,0,51
AVS147Q71004137G01680,1,1959,2,11722,1,1,1,74,3,56.1,11.9,13.3,3,1,59
AVS147Q71004167Q07389,2,1959,2,1372,1,1,N,79,1,8.2,9.8,10.7,3,0,59
AVS147Q71004652R05889,2,1959,4,16450,1,1,N,79,3,12.5,0,0,3,0,59
AVS147Q71004723V01984,2,1959,2,2385,1,1,1,74,1,18.9,11.8,13.4,5,1,59
AVS147Q71005023M02380,2,1959,5,14084,1,1,1,94,1,8.2,19.5,20.4,3,0,54
AVS147Q71005023M02380,2,1959,5,31858,1,1,1,94,1,8.2,19.5,20.4,3,0,59
AVS147Q71005072R00883,2,1959,2,193,1,1,1,74,2,39,8.5,10.2,3,0,54
AVS147Q71006085L03883,2,1959,2,1671,1,1,1,76,1,10.4,9.8,10.9,3,1,59
AVS147Q71006587E03487,2,1959,2,1599,1,1,1,94,1,17.7,11.4,13.3,3,3,59
AVS147Q71007112B04184,2,1959,4,20133,1,2,1,75,3,52.7,23.9,27.7,3,1,59
AVS147Q71008010H04580,2,1959,2,2962,1,2,1,75,1,21,12.5,13.7,3,1,59
AVS147Q71008661J03487,2,1959,4,20578,1,1,N,74,4,92.4,17.7,20,3,0,54
AVS147Q71008706J05885,1,1959,3,11722,1,2,1,75,3,62.2,15.3,16.4,3,1,59
AVS147Q71009791N07987,2,1959,2,789,1,1,1,74,4,69.2,8.5,10.2,3,1,59
AVS148D87600055Z00080,2,1973,2,1941,1,1,1,85,1,10.1,13.5,14.7,2,0,40
AVS148D87600235S02480,1,1973,2,8368,1,1,1,75,1,33.5,11.9,13.2,3,0,40
AVS148D87600235S02480,1,1973,2,8327,1,1,1,75,1,33.5,11.9,13.2,3,0,45
AVS148D87600290M08386,2,1973,2,286,1,1,3,74,1,10.1,9.4,10.5,2,0,40
AVS148D87600432F00981,1,1973,2,6334,1,1,1,75,1,32.9,12.3,13.2,2,0,37
AVS148D87600589Q02783,2,1973,2,706,1,1,1,94,1,20.7,13.4,14.8,3,0,40
AVS148D87600733M09982,2,1973,2,1188,1,1,1,75,4,93.9,12.9,14.1,5,0,45
AVS148D87600750R05588,2,1973,2,2504,1,1,1,85,1,11,10.4,11.7,3,0,40
AVS148D87601188X02086,1,1973,2,8368,1,1,1,75,3,42.4,16.7,17.6,3,0,40
AVS148D87601188X02086,1,1973,2,8327,1,1,1,75,3,42.4,16.7,17.6,3,1,45
AVS148D87601763X07484,2,1973,2,2976,1,2,1,75,1,29,9.1,11.7,3,0,40
AVS148D87601763X07484,2,1973,2,2987,1,2,1,75,1,29,9.1,11.7,4,0,43
AVS148D87601763X07484,2,1973,2,3838,1,2,1,75,1,29,9.1,11.7,3,0,45
AVS148D87602426R04588,2,1973,2,1233,1,1,1,94,1,17.4,13.4,14.6,2,0,45
AVS148D87602836A00487,2,1973,2,10830,1,1,1,94,2,25.3,12.8,14,3,1,45
AVS148D87602982R09584,2,1973,2,111,1,1,1,74,1,19.2,9.1,10.2,3,1,45
AVS148D87603304V08688,4,1973,2,250,1,2,1,75,1,28.7,13.4,14.6,2,0,40
AVS148D87603304V08688,4,1973,2,250,1,2,1,75,1,28.7,13.4,14.6,2,0,45
AVS148D87603502J09882,2,1973,2,2283,1,2,1,75,3,83.2,13.4,14.6,3,0,45
AVS148D87603529O04484,2,1973,2,2853,1,2,1,75,1,63.4,12.3,13.3,3,3,45
AVS148D87603735V02784,1,1973,3,52377,1,2,1,75,24,686.4,16.9,18.1,3,1,45
AVS148D87603795B05988,2,1973,1,6508,1,1,1,75,3,59.7,9.1,10.4,3,0,40
AVS148D87603795B05988,2,1973,1,5583,1,1,1,75,3,59.7,9.1,10.4,3,0,45
AVS148D87603999K05786,2,1973,2,3478,3,1,N,82,1,6.7,13.4,14.4,2,0,40
AVS148D87603999K05786,2,1973,2,2962,3,1,N,82,1,6.7,13.4,14.4,2,0,45
AVS148D87604218N02986,1,1973,3,36922,1,1,1,75,3,54.3,16.5,17.6,3,1,37
AVS148D87604236J09887,1,1973,3,17378,1,2,1,75,3,56.7,15.9,17,2,1,37
AVS148D87605132V06081,2,1973,4,28039,1,1,N,79,1,8.5,0,0,3,0,45
AVS148D87605436O08185,1,1973,2,6542,1,1,1,94,3,53.3,11.9,13.2,2,1,45
AVS148D87605523I03482,4,1973,2,1180,1,1,1,75,2,47.5,12.8,15.5,3,0,40
AVS148D87605523I03482,4,1973,2,2563,1,1,1,75,2,47.5,12.8,15.5,3,0,45
AVS148D87606316Y00080,1,1973,2,10170,1,1,1,94,3,34.4,12.2,13.4,2,1,42
AVS148D87606316Y00080,1,1973,2,10803,1,1,1,94,3,34.4,12.2,13.4,2,1,45
AVS148D87606577Q06889,5,1973,2,4642,1,2,1,75,2,56.9,12.3,15.3,3,2,45
AVS148D87606618M06683,1,1973,2,10692,1,1,1,94,3,41.5,12.2,13.4,2,1,42
AVS148D87606618M06683,1,1973,2,11036,1,1,1,94,3,41.5,12.2,13.4,2,1,45
AVS148D87606848Z07386,1,1973,3,10941,1,2,1,75,3,56.7,15.9,17,2,1,42
AVS148D87606848Z07386,1,1973,3,32903,1,2,1,75,3,56.7,15.9,17,2,1,45
AVS148D87607151O03083,2,1973,2,4446,1,1,1,74,1,16.5,13.5,14.6,3,0,40
AVS148D87607151O03083,2,1973,2,3759,1,1,1,74,1,16.5,13.5,14.6,3,0,45
AVS148D87607801Z07989,2,1973,2,1845,1,2,1,75,1,29,13.4,14.6,3,0,40
AVS148D87607801Z07989,2,1973,2,1404,1,2,1,75,1,29,13.4,14.6,3,0,45
AVS148D87609301U03189,1,1973,2,5924,1,2,1,75,3,118.9,12.2,13.3,2,0,40
AVS148D87609301U03189,1,1973,2,16271,1,2,1,75,3,118.9,12.2,13.3,2,0,42
AVS148D87609301U03189,1,1973,2,11569,1,2,1,75,3,118.9,12.2,13.3,2,1,45
AVS148D87609673C03184,2,1973,2,636,1,2,1,75,1,19.5,11,12.2,3,0,40
AVS148D87609673C03184,2,1973,2,477,1,2,1,75,1,19.5,11,12.2,3,0,45
AVS151Q97200038Y00486,4,1900,2,88,1,1,3,74,1,10.4,6.7,7.6,3,1,111
AVS151Q97200038Y00486,4,1900,2,88,1,1,3,74,1,10.4,6.7,7.6,3,1,118
AVS151Q97200295X04784,4,1900,2,14500,1,2,2,86,4,378.6,9.8,24.2,4,1,118
AVS151Q97200769Z06680,2,1900,2,26,1,2,1,75,1,23.2,5.5,6.7,3,0,113
AVS151Q97200769Z06680,2,1900,2,242,1,2,1,75,1,23.2,5.5,6.7,3,0,118
AVS151Q97200938Y08384,4,1900,2,4500,3,1,3,74,1,9.4,6,6.5,6,2,111
AVS151Q97200938Y08384,4,1900,2,4500,3,1,3,74,1,9.4,6,6.5,4,2,116
AVS151Q97200938Y08384,4,1900,2,4500,3,1,3,74,1,9.4,6,6.5,4,3,118
AVS151Q97201555J08585,2,1900,2,6745,1,3,N,86,2,20.7,9.6,12.3,3,1,111
AVS151Q97201555J08585,2,1900,2,3957,1,3,N,86,2,20.7,9.6,12.3,4,1,116
AVS151Q97201555J08585,2,1900,2,3475,1,3,N,86,2,20.7,9.6,12.3,4,1,118
AVS151Q97201692E00680,4,1900,1,0,4,2,3,89,1,33.5,4.6,5.5,7,3,114
AVS151Q97201692E00680,4,1900,1,0,4,2,3,89,1,33.5,4.6,5.5,7,3,116
AVS151Q97201832H03880,4,1900,1,25,3,2,2,75,1,14,4.4,5,3,0,111
AVS151Q97201832H03880,4,1900,1,25,3,2,2,75,1,14,4.4,5,3,0,113
AVS151Q97201974U07480,4,1900,2,100,3,2,2,75,1,12.8,5.6,5.6,3,1,111
AVS151Q97201974U07480,4,1900,2,100,3,2,2,75,1,12.8,5.6,5.6,4,1,116
AVS151Q97201974U07480,4,1900,2,100,3,2,2,75,1,12.8,5.6,5.6,4,1,118
AVS151Q97202661F02682,3,1900,1,5,1,1,3,74,1,12.5,4.1,5.2,5,0,111
AVS151Q97202661F02682,3,1900,1,5,1,1,3,74,1,12.5,4.1,5.2,5,0,113
AVS151Q97202661F02682,3,1900,1,5,1,1,3,74,1,12.5,4.1,5.2,4,0,116
AVS151Q97202661F02682,3,1900,1,5,1,1,3,74,1,12.5,4.1,5.2,4,0,118
AVS151Q97203117P08788,4,1900,1,100,3,2,3,75,1,16.5,4.4,4.8,3,0,118
AVS151Q97203249U07888,4,1900,1,20,3,3,3,89,1,14.9,3.3,3.6,5,1,111
AVS151Q97203461I09689,4,1900,2,100,1,2,2,75,1,15.2,5.4,6.1,3,3,111
AVS151Q97203815H01181,4,1900,1,40,3,2,3,75,1,9.4,4.5,4.9,3,0,111
AVS151Q97203815H01181,4,1900,1,40,3,2,3,75,1,9.4,4.5,4.9,4,0,113
AVS151Q97203815H01181,4,1900,1,40,3,2,3,75,1,9.4,4.5,4.9,3,0,118
AVS151Q97203893N00384,2,1900,1,328,3,2,2,75,1,16.8,4.1,4.5,4,3,111
AVS151Q97203893N00384,2,1900,1,324,3,2,2,75,1,16.8,4.1,4.5,4,3,114
AVS151Q97203893N00384,2,1900,1,340,3,2,2,75,1,16.8,4.1,4.5,4,3,116
AVS151Q97203893N00384,2,1900,1,340,3,2,2,75,1,16.8,4.1,4.5,4,3,118
AVS151Q97204185T01683,4,1900,2,75,1,1,3,74,1,21.6,7.6,8,3,0,111
AVS151Q97204185T01683,4,1900,2,75,1,1,3,74,1,21.6,7.6,8,3,0,113
AVS151Q97204327K03685,4,1900,1,175,3,2,2,75,1,14.9,4.2,4.3,4,1,116
AVS151Q97204327K03685,4,1900,1,175,3,2,2,75,1,14.9,4.2,4.3,4,1,118
AVS151Q97204386U03487,4,1900,2,250,1,3,N,79,1,6.4,0,0,3,0,111
AVS151Q97204386U03487,4,1900,2,250,1,3,N,79,1,6.4,0,0,3,0,113
AVS151Q97204386U03487,4,1900,2,250,1,3,N,79,1,6.4,0,0,4,0,116
AVS151Q97204774T09889,4,1900,2,200,3,3,N,86,2,14.6,5.9,7,4,3,118
AVS151Q97204783J09986,4,1900,2,55,1,2,2,75,1,16.8,5.5,5.5,3,3,114
AVS151Q97205315H08480,2,1900,2,7283,1,1,1,94,1,18.9,14.6,18,2,1,111
AVS151Q97205315H08480,2,1900,2,10155,1,1,1,94,1,18.9,14.6,18,2,1,115
AVS151Q97205315H08480,2,1900,2,9927,1,1,1,94,1,18.9,14.6,18,2,1,118
AVS151Q97205543X07884,2,1900,2,131,3,2,2,75,1,9.4,5.9,6,3,1,111
AVS151Q97205543X07884,2,1900,2,104,3,2,2,75,1,9.4,5.9,6,3,1,118
AVS151Q97205602Q07185,4,1900,2,7110,1,1,1,94,2,36.9,10.4,13,2,0,111
AVS151Q97205602Q07185,4,1900,2,7110,1,1,1,94,2,36.9,10.4,13,2,0,113
AVS151Q97205602Q07185,4,1900,2,6878,1,1,1,94,2,36.9,10.4,13,2,0,118
AVS151Q97205810J04180,4,1900,1,100,3,2,3,75,1,25.6,3.1,3.9,4,0,111
AVS151Q97206311C07286,4,1900,1,0,4,2,3,89,1,26.5,4,4.7,7,3,111
AVS151Q97206338V07181,2,1900,2,127,1,1,1,75,1,10.1,5.6,6.7,4,3,111
AVS151Q97206360N02680,4,1900,2,5001,1,3,N,86,2,8.2,9.7,14.2,4,1,118
AVS151Q97206519M03088,4,1900,1,2,3,2,2,75,1,9.1,3.9,4,6,1,111
AVS151Q97206631R06180,4,1900,1,0,4,2,3,89,1,51.2,4.3,4.9,7,3,111
AVS151Q97206631R06180,4,1900,1,0,4,2,3,89,1,51.2,4.3,4.9,7,3,114
AVS151Q97206961J06485,4,1900,1,100,4,2,2,89,1,37.5,3.8,4,7,3,114
AVS151Q97206961J06485,4,1900,1,100,4,2,2,89,1,37.5,3.8,4,7,3,118
